plot,spec,hits
D5C,Dryoct,0
D5C,Empnig,0
D5C,Equpra,46
D5C,Equsci,17
D5C,Erilat,0
D5C,Erivag,0
D5C,Eupfri,0
D5C,Fesovi,14
D5C,Hupsel,14
D5C,Juntri,0
D5C,Linbor,0
D5C,Loipro,0
D5C,Luzspi,2
D5C,Pedlap,0
D5C,Pinvul,0
D5C,Pyrsp.,0
D5C,Rholap,0
D5C,Rubcha,0
D5C,Salmyr,0
D5C,Salgla,37
D5C,Salret,1
D5C,Saualp,14
D5C,Silaca,10
D5C,Thaalp,24
D5C,Tofpus,12
D5C,Trices,299
D5C,Vacmic,0
D5C,Vaculi,71
D5C,Vacvit,0
E1SF,Andpol,0
E1SF,Arcalp,3
E1SF,Astalp,2
E1SF,Baralp,0
E1SF,Betnan,292
E1SF,Bisviv,0
E1SF,Callap,8
E1SF,Carbig,22
E1SF,Carcap,0
E1SF,Cardio,0
E1SF,Carnig,0
E1SF,Carrup,0
E1SF,Carvag,0
E1SF,Castet,0
E1SF,Dessp.,0
E1SF,Dialap,0
E1SF,Dryoct,0
E1SF,Empnig,470
E1SF,Equpra,0
E1SF,Equsci,0
E1SF,Erilat,0
E1SF,Erivag,0
E1SF,Eupfri,0
E1SF,Fesovi,167
E1SF,Hupsel,0
E1SF,Juntri,0
E1SF,Linbor,2
E1SF,Loipro,0
E1SF,Luzspi,0
E1SF,Pedlap,5
E1SF,Pinvul,0
E1SF,Pyrsp.,0
E1SF,Rholap,0
E1SF,Rubcha,0
E1SF,Salmyr,27
E1SF,Salgla,0
E1SF,Salret,0
E1SF,Saualp,2
E1SF,Silaca,0
E1SF,Thaalp,4
E1SF,Tofpus,0
E1SF,Trices,0
E1SF,Vacmic,0
E1SF,Vaculi,72
E1SF,Vacvit,57
E1C,Andpol,0
E1C,Arcalp,42
E1C,Astalp,0
E1C,Baralp,0
E1C,Betnan,84
E1C,Bisviv,2
E1C,Callap,0
E1C,Carbig,2
E1C,Carcap,0
E1C,Cardio,0
E1C,Carnig,0
E1C,Carrup,0
E1C,Carvag,0
E1C,Castet,0
E1C,Dessp.,0
E1C,Dialap,0
E1C,Dryoct,0
E1C,Empnig,630
E1C,Equpra,0
E1C,Equsci,0
E1C,Erilat,0
E1C,Erivag,0
E1C,Eupfri,0
E1C,Fesovi,12
E1C,Hupsel,0
E1C,Juntri,0
E1C,Linbor,0
E1C,Loipro,0
E1C,Luzspi,0
E1C,Pedlap,0
E1C,Pinvul,0
E1C,Pyrsp.,0
E1C,Rholap,0
E1C,Rubcha,0
E1C,Salmyr,0
E1C,Salgla,0
E1C,Salret,0
E1C,Saualp,0
E1C,Silaca,0
E1C,Thaalp,0
E1C,Tofpus,0
E1C,Trices,0
E1C,Vacmic,0
E1C,Vaculi,240
E1C,Vacvit,74
E2SF,Andpol,55
E2SF,Arcalp,14
E2SF,Astalp,0
E2SF,Baralp,0
E2SF,Betnan,121
E2SF,Bisviv,0
E2SF,Callap,13
E2SF,Carbig,0
E2SF,Carcap,0
E2SF,Cardio,0
E2SF,Carnig,0
E2SF,Carrup,0
E2SF,Carvag,0
E2SF,Castet,0
E2SF,Dessp.,0
E2SF,Dialap,0
E2SF,Dryoct,0
E2SF,Empnig,614
E2SF,Equpra,0
E2SF,Equsci,0
E2SF,Erilat,0
