plot,spec,hits
D5C,Empnig,0
E1SF,Empnig,171
E1C,Empnig,355
E2SF,Empnig,266
E2C,Empnig,332
E3SF,Empnig,257
E3C,Empnig,414
E4SF,Empnig,227
E4C,Empnig,347
E5SF,Empnig,159
E5C,Empnig,342
X1SF,Empnig,56
X1C,Empnig,74
X2SF,Empnig,52
X2C,Empnig,26
X3SF,Empnig,58
X3C,Empnig,10
X4SF,Empnig,102
X4C,Empnig,91
X5SF,Empnig,47
X5C,Empnig,9
D1SF,Equarv,0
D1C,Equarv,0
D2SF,Equarv,0
D2C,Equarv,0
D3SF,Equarv,0
D3C,Equarv,0
D4SF,Equarv,0
D4C,Equarv,0
D5SF,Equarv,0
D5C,Equarv,0
E1SF,Equarv,0
E1C,Equarv,0
E2SF,Equarv,0
E2C,Equarv,0
E3SF,Equarv,0
E3C,Equarv,0
E4SF,Equarv,0
E4C,Equarv,0
E5SF,Equarv,2
E5C,Equarv,0
X1SF,Equarv,0
X1C,Equarv,0
X2SF,Equarv,0
X2C,Equarv,0
X3SF,Equarv,0
X3C,Equarv,0
X4SF,Equarv,0
X4C,Equarv,0
X5SF,Equarv,0
X5C,Equarv,0
D1SF,Equpra,5
D1C,Equpra,31
D2SF,Equpra,0
D2C,Equpra,0
D3SF,Equpra,0
D3C,Equpra,0
D4SF,Equpra,0
D4C,Equpra,0
D5SF,Equpra,0
D5C,Equpra,19
E1SF,Equpra,0
E1C,Equpra,0
E2SF,Equpra,0
E2C,Equpra,9
E3SF,Equpra,0
E3C,Equpra,13
E4SF,Equpra,2
E4C,Equpra,0
E5SF,Equpra,14
E5C,Equpra,0
X1SF,Equpra,0
X1C,Equpra,0
X2SF,Equpra,0
X2C,Equpra,0
X3SF,Equpra,0
X3C,Equpra,0
X4SF,Equpra,0
X4C,Equpra,0
X5SF,Equpra,0
X5C,Equpra,0
D1SF,Equsci,7
D1C,Equsci,0
D2SF,Equsci,14
D2C,Equsci,25
D3SF,Equsci,24
D3C,Equsci,1
D4SF,Equsci,3
D4C,Equsci,2
D5SF,Equsci,0
D5C,Equsci,26
E1SF,Equsci,0
E1C,Equsci,0
E2SF,Equsci,0
E2C,Equsci,0
E3SF,Equsci,0
E3C,Equsci,2
E4SF,Equsci,3
E4C,Equsci,61
E5SF,Equsci,29
E5C,Equsci,0
X1SF,Equsci,0
X1C,Equsci,0
X2SF,Equsci,0
X2C,Equsci,0
X3SF,Equsci,0
X3C,Equsci,0
X4SF,Equsci,0
X4C,Equsci,0
X5SF,Equsci,0
X5C,Equsci,0
D1SF,Erivag,0
D1C,Erivag,0
D2SF,Erivag,0
D2C,Erivag,0
D3SF,Erivag,6
D3C,Erivag,0
D4SF,Erivag,0
D4C,Erivag,0
D5SF,Erivag,0
D5C,Erivag,0
E1SF,Erivag,0
E1C,Erivag,0
E2SF,Erivag,0
E2C,Erivag,0
E3SF,Erivag,0
E3C,Erivag,0
E4SF,Erivag,0
E4C,Erivag,0
E5SF,Erivag,0
E5C,Erivag,0
X1SF,Erivag,0
X1C,Erivag,0
X2SF,Erivag,0
X2C,Erivag,0
X3SF,Erivag,0
X3C,Erivag,0
X4SF,Erivag,0
X4C,Erivag,0
X5SF,Erivag,0
X5C,Erivag,0
D1SF,Eupfri,0
D1C,Eupfri,0
D2SF,Eupfri,0
D2C,Eupfri,0
D3SF,Eupfri,0
D3C,Eupfri,0
D4SF,Eupfri,0
D4C,Eupfri,0
D5SF,Eupfri,1
D5C,Eupfri,0
E1SF,Eupfri,0
E1C,Eupfri,0
E2SF,Eupfri,0
E2C,Eupfri,0
E3SF,Eupfri,0
E3C,Eupfri,0
E4SF,Eupfri,0
E4C,Eupfri,1
E5SF,Eupfri,0
E5C,Eupfri,0
X1SF,Eupfri,0
X1C,Eupfri,0
X2SF,Eupfri,0
X2C,Eupfri,0
X3SF,Eupfri,0
X3C,Eupfri,0
X4SF,Eupfri,0
X4C,Eupfri,0
X5SF,Eupfri,0
X5C,Eupfri,0
D1SF,Fesovi,0
D1C,Fesovi,0
D2SF,Fesovi,0
D2C,Fesovi,0
D3SF,Fesovi,0
D3C,Fesovi,0
D4SF,Fesovi,0
D4C,Fesovi,0
D5SF,Fesovi,21
D5C,Fesovi,0
E1SF,Fesovi,109
E1C,Fesovi,2
E2SF,Fesovi,0
E2C,Fesovi,0
E3SF,Fesovi,0
E3C,Fesovi,0
E4SF,Fesovi,35
E4C,Fesovi,1
E5SF,Fesovi,0
E5C,Fesovi,2
X1SF,Fesovi,1
X1C,Fesovi,0
X2SF,Fesovi,0
X2C,Fesovi,0
X3SF,Fesovi,0
X3C,Fesovi,0
X4SF,Fesovi,0
X4C,Fesovi,0
X5SF,Fesovi,0
X5C,Fesovi,0
D1SF,Hupsel,3
D1C,Hupsel,4
D2SF,Hupsel,0
D2C,Hupsel,4
D3SF,Hupsel,0
D3C,Hupsel,3
D4SF,Hupsel,0
D4C,Hupsel,0
D5SF,Hupsel,2
D5C,Hupsel,11
E1SF,Hupsel,0
E1C,Hupsel,0
E2SF,Hupsel,0
E2C,Hupsel,0
E3SF,Hupsel,0
E3C,Hupsel,0
E4SF,Hupsel,0
E4C,Hupsel,0
E5SF,Hupsel,0
E5C,Hupsel,0
X1SF,Hupsel,0
X1C,Hupsel,0
X2SF,Hupsel,0
X2C,Hupsel,0
X3SF,Hupsel,0
X3C,Hupsel,0
X4SF,Hupsel,0
X4C,Hupsel,0
X5SF,Hupsel,0
X5C,Hupsel,0
D1SF,Juntri,0
D1C,Juntri,0
D2SF,Juntri,0
D2C,Juntri,0
D3SF,Juntri,0
D3C,Juntri,0
D4SF,Juntri,0
D4C,Juntri,0
D5SF,Juntri,0
D5C,Juntri,0
