plot,species,hits
X3SF,Cassiope tetragona,0
X3C,Cassiope tetragona,0
X4SF,Cassiope tetragona,0
X4C,Cassiope tetragona,0
X5SF,Cassiope tetragona,0
X5C,Cassiope tetragona,0
D1SF,Deschampsia sp.,0
D1C,Deschampsia sp.,0
D2SF,Deschampsia sp.,0
D2C,Deschampsia sp.,0
D3SF,Deschampsia sp.,0
D3C,Deschampsia sp.,0
D4SF,Deschampsia sp.,0
D4C,Deschampsia sp.,0
D5SF,Deschampsia sp.,0
D5C,Deschampsia sp.,0
E1SF,Deschampsia sp.,0
E1C,Deschampsia sp.,0
E2SF,Deschampsia sp.,0
E2C,Deschampsia sp.,0
E3SF,Deschampsia sp.,0
E3C,Deschampsia sp.,0
E4SF,Deschampsia sp.,0
E4C,Deschampsia sp.,0
E5SF,Deschampsia sp.,0
E5C,Deschampsia sp.,0
X1SF,Deschampsia sp.,3
X1C,Deschampsia sp.,0
X2SF,Deschampsia sp.,0
X2C,Deschampsia sp.,0
X3SF,Deschampsia sp.,0
X3C,Deschampsia sp.,0
X4SF,Deschampsia sp.,0
X4C,Deschampsia sp.,0
X5SF,Deschampsia sp.,0
X5C,Deschampsia sp.,0
D1SF,Diapensia lapponica,0
D1C,Diapensia lapponica,0
D2SF,Diapensia lapponica,0
D2C,Diapensia lapponica,0
D3SF,Diapensia lapponica,0
D3C,Diapensia lapponica,0
D4SF,Diapensia lapponica,0
D4C,Diapensia lapponica,0
D5SF,Diapensia lapponica,0
D5C,Diapensia lapponica,0
E1SF,Diapensia lapponica,0
E1C,Diapensia lapponica,0
E2SF,Diapensia lapponica,0
E2C,Diapensia lapponica,4
E3SF,Diapensia lapponica,0
E3C,Diapensia lapponica,1
E4SF,Diapensia lapponica,4
E4C,Diapensia lapponica,0
E5SF,Diapensia lapponica,0
E5C,Diapensia lapponica,0
X1SF,Diapensia lapponica,0
X1C,Diapensia lapponica,1
X2SF,Diapensia lapponica,0
X2C,Diapensia lapponica,0
X3SF,Diapensia lapponica,0
X3C,Diapensia lapponica,0
X4SF,Diapensia lapponica,3
X4C,Diapensia lapponica,0
X5SF,Diapensia lapponica,4
X5C,Diapensia lapponica,0
D1SF,Dryas octopetala,0
D1C,Dryas octopetala,0
D2SF,Dryas octopetala,4
D2C,Dryas octopetala,5
D3SF,Dryas octopetala,0
D3C,Dryas octopetala,0
D4SF,Dryas octopetala,0
D4C,Dryas octopetala,0
D5SF,Dryas octopetala,0
D5C,Dryas octopetala,0
E1SF,Dryas octopetala,0
E1C,Dryas octopetala,0
