code,plot,habitat,site,treatment,spec,height,fweight,dweight,bulknr,leafa,comment
E1SF4,E1SF,E,1,SF,Vaculi,9.1,0.1005,0.0373,,4.43918467,
E1SF5,E1SF,E,1,SF,Empnig,6,0.0613,0.03,,2.34418886,
E1SF6,E1SF,E,1,SF,Empnig,5.3,0.132,0.0595,,5.43176333,
E1SF7,E1SF,E,1,SF,Empnig,7.5,0.1361,0.0594,,5.330509339,
E1SF8,E1SF,E,1,SF,Empnig,5.8,0.2372,0.1075,,8.396739336,
E1SF13,E1SF,E,1,SF,Betnan,16.4,0.1106,0.0456,,5.108645912,
E1SF14,E1SF,E,1,SF,Betnan,24.5,0.0739,0.0331,,3.66079913,
E1SF15,E1SF,E,1,SF,Betnan,26.4,0.0968,0.0405,,4.16434651,
E1SF16,E1SF,E,1,SF,Betnan,25.2,0.0721,0.0293,,3.496193653,
X1SF1,X1SF,X,1,SF,Vaculi,3.3,0.0445,0.0156,,2.695227513,
X1SF2,X1SF,X,1,SF,Vaculi,1.9,0.0359,0.0132,,1.888974932,
X1SF3,X1SF,X,1,SF,Empnig,2.8,0.085,0.0421,,3.246498668,
X1SF4,X1SF,X,1,SF,Empnig,4.9,0.098,0.049,,3.770996329,
X1SF5,X1SF,X,1,SF,Betnan,10,0.0958,0.0424,,4.85434513,
X1SF6,X1SF,X,1,SF,Betnan,9.3,0.0765,0.0344,,3.897805753,
X1SF9,X1SF,X,1,SF,Vaculi,4.4,0.0713,0.0307,,3.431265396,
X1SF10,X1SF,X,1,SF,Empnig,3.7,0.0653,0.0303,,2.407808733,
X1SF11,X1SF,X,1,SF,Betnan,10.6,0.072,0.0314,,3.940439861,
X1C1,X1C,X,1,C,Vaculi,1.8,0.0567,0.0234,,2.478884074,
X1C2,X1C,X,1,C,Vaculi,2.5,0.054,0.0214,,2.764743503,
X1C3,X1C,X,1,C,Empnig,4.6,0.1179,0.0548,,4.55063606,
X1C4,X1C,X,1,C,Empnig,2.7,0.0684,0.0345,,2.95580054,
X1C7,X1C,X,1,C,Betnan,6.6,0.0977,0.038,,5.30918293,
X1C8,X1C,X,1,C,Betnan,5.7,0.0649,0.0292,,3.231642569,
E2SF1,E2SF,E,2,SF,Vaculi,9.8,0.1196,0.041,,4.880921851,
E2SF2,E2SF,E,2,SF,Vaculi,7.2,0.0665,0.025,,2.562432294,
E2SF5,E2SF,E,2,SF,Empnig,5.4,0.1197,0.053,,4.822858096,
E2SF6,E2SF,E,2,SF,Empnig,7.4,0.0757,0.0308,,3.427000243,
E2SF7,E2SF,E,2,SF,Betnan,19.6,0.0957,0.041,,4.303557844,
E2SF8,E2SF,E,2,SF,Betnan,17.3,0.0815,0.0345,,4.444256273,
E2C1,E2C,E,2,C,Vaculi,8.3,0.0724,0.0313,,3.924956021,
E2C2,E2C,E,2,C,Vaculi,4.6,0.0518,0.0205,,2.320066973,
E2C5,E2C,E,2,C,Betnan,14.3,0.0502,0.0243,,2.799151821,
E2C6,E2C,E,2,C,Betnan,8.7,0.0474,0.0214,,2.429080948,
E2C7,E2C,E,2,C,Empnig,9.4,0.0779,0.0372,,3.05434873,
E2C8,E2C,E,2,C,Empnig,8.1,0.1101,0.0498,,3.933916648,
D1C1,D1C,D,1,C,Vaculi,6.7,0.1298,0.0505,,4.562463778,
D1C2,D1C,D,1,C,Vaculi,5.2,0.0756,0.0313,,3.101104766,
D1C3,D1C,D,1,C,Betnan,6.6,0.05222,0.0187,,2.570944536,
D1C4,D1C,D,1,C,Betnan,5.8,0.048,0.0216,,2.827987247,
D1C7,D1C,D,1,C,Empnig,3.6,0.0691,0.0314,,2.969653416,
D1C8,D1C,D,1,C,Empnig,4.2,0.0604,0.0289,,2.661858547,
D1SF1,D1SF,D,1,SF,Vaculi,5.6,0.0836,0.0328,,3.841336188,
D1SF2,D1SF,D,1,SF,Vaculi,4.6,0.1215,0.0485,,5.416404651,
D1SF3,D1SF,D,1,SF,Vaculi,6.3,0.166,0.0687,,7.04063108,
D1SF4,D1SF,D,1,SF,Betnan,12.2,0.0981,0.0402,,5.181907056,
D1SF5,D1SF,D,1,SF,Betnan,18.4,0.0617,0.0298,,3.379868079,
D1SF6,D1SF,D,1,SF,Betnan,10.3,0.083,0.0321,,4.454901413,
D1SF7,D1SF,D,1,SF,Empnig,4.7,0.0455,0.0202,,2.296572181,
D1SF8,D1SF,D,1,SF,Empnig,4.9,0.0516,0.0234,,2.518579479,
D1SF9,D1SF,D,1,SF,Empnig,5,0.1243,0.0471,,5.450938776,
E3SF1,E3SF,E,3,SF,Betnan,18.6,0.1109,0.0446,,5.099147221,
E3SF2,E3SF,E,3,SF,Betnan,14.8,0.0853,0.0343,,3.997124264,
E3SF3,E3SF,E,3,SF,Betnan,19.1,0.1648,0.0684,,7.306096356,
E3SF4,E3SF,E,3,SF,Betnan,22.6,0.075,0.0335,,3.764149891,
E3SF5,E3SF,E,3,SF,Vaculi,7.6,0.0756,0.0295,,3.66999266,
E3SF6,E3SF,E,3,SF,Vaculi,11.3,0.072,0.0297,,3.620530178,
E3SF7,E3SF,E,3,SF,Vaculi,10,0.0736,0.0267,,4.069418313,
E3SF8,E3SF,E,3,SF,Vaculi,4.5,0.0849,0.0351,,3.93354052,
E3SF9,E3SF,E,3,SF,Empnig,10.4,0.0875,0.0408,,3.85466971,
E3SF10,E3SF,E,3,SF,Empnig,10,0.1112,0.0489,,5.297462308,
E3SF11,E3SF,E,3,SF,Empnig,7.9,0.101,0.044,,4.51837806,
E3SF12,E3SF,E,3,SF,Empnig,6.4,0.1207,0.0576,,5.296727471,
D1Ca,D1C,D,1,C,Betnan,11,0.0515,0.0227,,2.485174384,
D1Cb,D1C,D,1,C,Betnan,5.7,0.0606,0.0268,,3.193505871,
D1Cc,D1C,D,1,C,Vaculi,4.2,0.0714,0.029,,2.99467143,
D1Cd,D1C,D,1,C,Vaculi,5.2,0.0742,0.0335,,3.105764111,
D1Ce,D1C,D,1,C,Empnig,5.5,0.0888,0.0376,,3.781551792,
D1Cf,D1C,D,1,C,Empnig,7.6,0.0803,0.0329,,3.697662927,
E2SFa,E2SF,E,2,SF,Betnan,11.9,0.0861,0.0372,,3.715727407,
E2SFb,E2SF,E,2,SF,Betnan,12.3,0.0982,0.0303,,4.880061853,
E2SFc,E2SF,E,2,SF,Vaculi,9.8,0.0585,0.0213,,2.470515059,
E2SFd,E2SF,E,2,SF,Vaculi,9.6,0.0692,0.0251,,2.616410251,
E2SFe,E2SF,E,2,SF,Empnig,9.3,0.1051,0.0468,,4.302482363,
E2SFf,E2SF,E,2,SF,Empnig,9.5,0.0951,0.0424,,4.140923331,
X1Ca,X1C,X,1,C,Betnan,10.2,0.04879,0.0232,,2.693937193,
X1Cb,X1C,X,1,C,Betnan,9.5,0.067,0.0282,,2.772718326,
X1Cc,X1C,X,1,C,Vaculi,2.9,0.0419,0.0165,,2.168687276,
X1Cd,X1C,X,1,C,Vaculi,3.9,0.0455,0.0189,,2.20951171,
X1Ce,X1C,X,1,C,Empnig,1.6,0.1013,0.0458,,4.08563699,
X1Cf,X1C,X,1,C,Empnig,2.2,0.0923,0.0422,,3.780189859,
X5C1,X5C,X,5,C,Betnan,2.3,0.053,0.0232,,,
X5C2,X5C,X,5,C,Betnan,0.1,0.0945,0.0353,,4.648557154,
X5C3,X5C,X,5,C,Betnan,1.9,0.0861,0.0363,,3.696891961,
X5C4,X5C,X,5,C,Betnan,2.1,0.0884,0.0363,,4.056945434,
X5C5,X5C,X,5,C,Vaculi,2.9,0.0664,0.0269,,,
X5C6,X5C,X,5,C,Vaculi,3.8,0.0663,0.0268,,3.162914964,
X5C7,X5C,X,5,C,Vaculi,0.6,0.0321,0.0123,,1.50612602,
X5C8,X5C,X,5,C,Vaculi,3.7,0.0447,0.0183,,2.268561914,
X5C9,X5C,X,5,C,Empnig,1.9,0.0851,0.0408,,3.214957441,
X5C10,X5C,X,5,C,Empnig,4.6,0.1488,0.0752,,6.254485556,
X5C11,X5C,X,5,C,Empnig,2,0.1555,0.0727,,6.629413193,
X5C12,X5C,X,5,C,Empnig,3.9,0.0824,0.0412,,2.984474031,
X4C1,X4C,X,4,C,Vaculi,1.6,0.015,0.005,,0.91435301,
X4C2,X4C,X,4,C,Vaculi,1.4,0.0359,0.0152,,1.791501578,
X4C3,X4C,X,4,C,Vaculi,1.9,0.039,0.0161,,1.980569587,
X4C4,X4C,X,4,C,Vaculi,1.9,0.0384,0.0158,,1.760426802,
X4C5,X4C,X,4,C,Betnan,5.2,0.0722,0.033,,3.255101232,
X4C6,X4C,X,4,C,Betnan,4.8,0.0936,0.0425,,4.224418003,
X4C7,X4C,X,4,C,Betnan,3.8,0.0975,0.0432,,4.66370035,
X4C8,X4C,X,4,C,Betnan,4.1,0.1335,0.0552,,5.669702209,
X4C9,X4C,X,4,C,Empnig,4,0.0346,0.0158,,1.426699727,
X4C10,X4C,X,4,C,Empnig,0.1,0.0925,0.047,,3.9370889,
X4C11,X4C,X,4,C,Empnig,3.6,0.0615,0.0309,,2.665908862,
X4C12,X4C,X,4,C,Empnig,2.9,0.0556,0.0241,,2.255891617,
X4SF1,X4SF,X,4,SF,Betnan,6.3,0.0803,0.0358,,3.990028149,
X4SF2,X4SF,X,4,SF,Betnan,4.8,0.0826,0.0319,,4.025171304,
X4SF3,X4SF,X,4,SF,Betnan,4.6,0.0697,0.0309,,3.662877836,
X4SF4,X4SF,X,4,SF,Betnan,6.9,0.0602,0.023,,3.365584882,
X4SF5,X4SF,X,4,SF,Vaculi,4.2,0.0577,0.0218,,2.814098243,
X4SF6,X4SF,X,4,SF,Vaculi,5.7,0.1126,0.0421,,4.505277441,
X4SF7,X4SF,X,4,SF,Vaculi,2.8,0.0362,0.0161,,1.67709342,
X4SF8,X4SF,X,4,SF,Vaculi,2.4,0.0583,0.0238,,2.858650412,
X4SF9,X4SF,X,4,SF,Empnig,3,0.084,0.041,,3.912357982,
X4SF10,X4SF,X,4,SF,Empnig,2.8,0.0594,0.0274,,2.820227263,
X4SF11,X4SF,X,4,SF,Empnig,3.2,0.0729,0.0331,,3.091911236,
X4SF12,X4SF,X,4,SF,Empnig,5.4,0.128,0.0652,,5.922389446,
D5SF1,D5SF,D,5,SF,Betnan,2.6,0.1125,0.0434,,5.127140068,
D5SF2,D5SF,D,5,SF,Betnan,19.5,0.1628,0.0595,,7.573622917,
D5SF3,D5SF,D,5,SF,Betnan,30,0.1296,0.0546,,6.310901572,
D5SF4,D5SF,D,5,SF,Betnan,16,0.1266,0.0496,,6.713714314,
D5SF5,D5SF,D,5,SF,Vaculi,6.1,0.0699,0.0277,,3.192449099,
D5SF6,D5SF,D,5,SF,Vaculi,7,0.1076,0.0371,,5.104236888,
D5SF7,D5SF,D,5,SF,Vaculi,6.7,0.2146,0.0877,,8.01675816,
D5SF8,D5SF,D,5,SF,Vaculi,5.7,0.1144,0.0425,,4.853663841,
D5SF9,D5SF,D,5,SF,Empnig,4.6,0.0829,0.0319,,3.491803339,
D5SF10,D5SF,D,5,SF,Empnig,10,0.1532,0.0542,,6.94788933,
D5SF11,D5SF,D,5,SF,Empnig,6.4,0.184,0.0696,,8.854857129,
D5SF12,D5SF,D,5,SF,Empnig,2.8,0.1405,0.0515,,7.210290096,
D4C1,D4C,D,4,C,Betnan,10.3,0.0637,0.0273,,3.436552482,
D4C2,D4C,D,4,C,Betnan,6.7,0.0584,0.0256,,3.02805846,
D4C3,D4C,D,4,C,Betnan,8.7,0.0539,0.0209,,2.963148267,
D4C4,D4C,D,4,C,Betnan,14.4,0.0729,0.0317,,3.749849274,
D4C5,D4C,D,4,C,Vaculi,6.6,0.052,0.0188,,2.660299196,
D4C6,D4C,D,4,C,Vaculi,4.4,0.0422,0.0153,,2.001143094,
D4C7,D4C,D,4,C,Vaculi,7.6,0.0666,0.0227,,2.549116837,
D4C8,D4C,D,4,C,Vaculi,7.9,0.0682,0.0251,,3.251068982,
D4C9,D4C,D,4,C,Empnig,4.6,0.1052,0.0495,,4.210905772,
D4C10,D4C,D,4,C,Empnig,1.9,0.0538,0.0246,,2.306626354,
D4C11,D4C,D,4,C,Empnig,9.1,0.0547,0.0246,,2.552665217,
D4C12,D4C,D,4,C,Empnig,3.2,0.0329,0.0163,,1.611556132,
D3SF1,D3SF,D,3,SF,Betnan,7.2,0.0764,0.0337,,3.5677348,
D3SF2,D3SF,D,3,SF,Betnan,9.2,0.0763,0.0328,,3.590835399,
D3SF3,D3SF,D,3,SF,Betnan,6.7,0.0498,0.0219,,2.612450259,
D3SF4,D3SF,D,3,SF,Betnan,6.2,0.0799,0.0342,,3.791623384,
D3SF5,D3SF,D,3,SF,Vaculi,3.7,0.0837,0.0363,,3.590978624,
D3SF6,D3SF,D,3,SF,Vaculi,4.6,0.0813,0.0365,,3.882823847,
D3SF7,D3SF,D,3,SF,Vaculi,3.8,0.0736,0.0292,,3.252036722,
D3SF8,D3SF,D,3,SF,Vaculi,5.2,0.0671,0.0267,,2.864940722,
D3SF9,D3SF,D,3,SF,Empnig,3.2,0.0575,0.0221,,2.523758178,
D3SF10,D3SF,D,3,SF,Empnig,3.9,0.0527,0.0239,,2.384009426,
D3SF11,D3SF,D,3,SF,Empnig,5.7,0.0834,0.0333,,3.216947114,
D3SF12,D3SF,D,3,SF,Empnig,4.1,0.098,0.0437,,3.43241249,
D2C1,D2C,D,2,C,Betnan,7.8,0.096,0.0427,,4.876531537,
D2C2,D2C,D,2,C,Betnan,6.5,0.0673,0.0294,,3.239079328,
D2C3,D2C,D,2,C,Betnan,7.3,0.0505,0.0241,,2.917682552,
D2C4,D2C,D,2,C,Betnan,2.3,0.0493,0.0231,,2.749134502,
D2C5,D2C,D,2,C,Vaculi,7.5,0.0767,0.0319,,4.158719424,
D2C6,D2C,D,2,C,Vaculi,5.5,0.0448,0.0165,,2.270049008,
D2C7,D2C,D,2,C,Vaculi,8.1,0.0588,0.0249,,3.054438407,
D2C8,D2C,D,2,C,Vaculi,6.1,0.0624,0.0253,,3.223828391,
D2C9,D2C,D,2,C,Empnig,4.9,0.0775,0.0379,,3.158667231,
D2C10,D2C,D,2,C,Empnig,2.7,0.0668,0.0338,,3.105782176,
D2C11,D2C,D,2,C,Empnig,6.2,0.0448,0.0211,,1.998526326,
D2C12,D2C,D,2,C,Empnig,3.4,0.0506,0.0262,,2.15676988,
E4SF1,E4SF,E,4,SF,Vaculi,7.8,0.1185,0.0439,,5.884719198,
E4SF2,E4SF,E,4,SF,Vaculi,6.7,0.1237,0.046,,5.233035986,
E4SF3,E4SF,E,4,SF,Vaculi,8.8,0.1482,0.0534,,7.075344559,
E4SF4,E4SF,E,4,SF,Betnan,14.6,0.0851,0.0344,,4.880850238,
E4SF5,E4SF,E,4,SF,Betnan,14.7,0.0892,0.0308,,4.908807602,
E4SF6,E4SF,E,4,SF,Betnan,11.9,0.0738,0.0326,,4.273432098,
E4SF7,E4SF,E,4,SF,Empnig,10.4,0.0583,0.0215,,3.231498698,
E4SF8,E4SF,E,4,SF,Empnig,7.7,0.078,0.0346,,4.134758827,
E4SF9,E4SF,E,4,SF,Empnig,8.5,0.0548,0.0233,,2.341267576,
E4SF10,E4SF,E,4,SF,Empnig,7.9,0.1229,0.0466,,4.542768979,
E4SF11,E4SF,E,4,SF,Vaculi,8.4,0.0749,0.0339,,3.960780466,
E4SF13,E4SF,E,4,SF,Betnan,20.5,0.0528,0.0212,,3.110047328,
E4C1,E4C,E,4,C,Vaculi,8.3,0.1229,0.0512,,4.786245266,
E4C2,E4C,E,4,C,Vaculi,8.7,0.0853,0.0316,,3.730351249,
E4C3,E4C,E,4,C,Vaculi,6.5,0.0738,0.0262,,3.29257406,
E4C4,E4C,E,4,C,Vaculi,6.4,0.0486,0.017,,4.389525414,
E4C5,E4C,E,4,C,Betnan,16.4,0.0907,0.0391,,4.451962709,
E4C6,E4C,E,4,C,Betnan,6,0.0514,0.0212,,3.097359612,
E4C7,E4C,E,4,C,Betnan,14.6,0.0785,0.0339,,3.698308087,
E4C8,E4C,E,4,C,Betnan,10.2,0.1283,0.0557,,6.47192254,
E4C9,E4C,E,4,C,Empnig,5.7,0.0831,0.0385,,3.359007476,
E4C10,E4C,E,4,C,Empnig,4.7,0.0874,0.0391,,3.225405807,
E4C11,E4C,E,4,C,Empnig,7.1,0.1021,0.0451,,3.913254109,
E4C12,E4C,E,4,C,Empnig,3.8,0.0753,0.0324,,2.967538581,
X3SF1,X3SF,X,3,SF,Vaculi,2.4,0.0408,0.0183,,2.307629578,
X3SF2,X3SF,X,3,SF,Vaculi,1.8,0.0607,0.0246,,3.786372427,
X3SF3,X3SF,X,3,SF,Vaculi,2.6,0.0624,0.0286,,3.265925081,
X3SF4,X3SF,X,3,SF,Vaculi,2.7,0.0534,0.0251,,2.711732641,
X3SF5,X3SF,X,3,SF,Betnan,3.3,0.0642,0.0295,,3.620691468,
X3SF6,X3SF,X,3,SF,Betnan,2.2,0.0652,0.0287,,4.205869653,
X3SF7,X3SF,X,3,SF,Betnan,2.9,0.0577,0.0254,,3.662662997,
X3SF8,X3SF,X,3,SF,Betnan,2.6,0.0756,0.031,,3.784920817,
X3SF9,X3SF,X,3,SF,Empnig,2.6,0.1037,0.046,,4.509130982,
X3SF10,X3SF,X,3,SF,Empnig,2.8,0.0599,0.0247,,2.161429226,
X3SF11,X3SF,X,3,SF,Empnig,2.2,0.0475,0.0242,,3.303756618,
X3SF12,X3SF,X,3,SF,Empnig,2.7,0.0801,0.0398,,3.36225134,
X3C1,X3C,X,3,C,Vaculi,0.7,0.025,0.0101,,1.270840039,
X3C2,X3C,X,3,C,Vaculi,1.1,0.0342,0.0142,,1.650874763,
X3C3,X3C,X,3,C,Vaculi,2.1,0.0312,0.0117,,1.487469928,
X3C4,X3C,X,3,C,Vaculi,1.6,0.0385,0.0165,,2.141716362,
X3C5,X3C,X,3,C,Betnan,3,0.1083,0.0522,,5.851637329,
X3C6,X3C,X,3,C,Betnan,2.9,0.1041,0.0452,,6.377604019,
X3C7,X3C,X,3,C,Betnan,6.8,0.0836,0.0379,,4.365887397,
X3C8,X3C,X,3,C,Empnig,2.2,0.0996,0.0474,,4.527356752,
X3C9,X3C,X,3,C,Empnig,1.7,0.0503,0.0248,,2.466858937,
X3C10,X3C,X,3,C,Empnig,0.9,0.0706,0.0302,,3.718809982,
X3C11,X3C,X,3,C,Empnig,2.4,0.1316,0.0645,,5.164058059,
E5SF1,E5SF,E,5,SF,Vaculi,6.3,0.0613,0.0209,,2.597593514,
E5SF2,E5SF,E,5,SF,Vaculi,7.9,0.1643,0.0582,,6.794376734,
E5SF3,E5SF,E,5,SF,Vaculi,2.5,0.0639,0.024,,2.818847266,
E5SF4,E5SF,E,5,SF,Vaculi,5.6,0.0915,0.0366,,,
E5SF5,E5SF,E,5,SF,Betnan,7.7,0.0732,0.0346,,4.028128073,
E5SF6,E5SF,E,5,SF,Betnan,7.9,0.0946,0.039,,5.705006654,
E5SF7,E5SF,E,5,SF,Betnan,22.4,0.2032,0.0756,,11.84384728,
E5SF8,E5SF,E,5,SF,Betnan,13.6,0.0625,0.0269,,3.731999633,
E5SF9,E5SF,E,5,SF,Empnig,6.9,0.1444,0.0658,,5.863303757,
E5SF10,E5SF,E,5,SF,Empnig,9.8,0.1709,0.0781,,7.584035154,
E5SF11,E5SF,E,5,SF,Empnig,9.3,0.1122,0.0521,,4.989130022,
E5SF12,E5SF,E,5,SF,Empnig,7.7,0.1022,0.0474,,4.231873472,
E5C1,E5C,E,5,C,Vaculi,4.6,0.0429,0.0167,,1.80677058,
E5C2,E5C,E,5,C,Vaculi,3.8,0.0281,0.0084,,1.506860857,
E5C3,E5C,E,5,C,Vaculi,4.1,0.0425,0.0179,,2.037666247,
E5C4,E5C,E,5,C,Vaculi,5.6,0.0344,0.0137,,1.712541091,
E5C5,E5C,E,5,C,Betnan,7.2,0.0975,0.0403,,4.567499897,
E5C6,E5C,E,5,C,Betnan,6.4,0.0743,0.0319,,3.446336978,
E5C7,E5C,E,5,C,Betnan,7.9,0.0931,0.0372,,4.802481363,
E5C8,E5C,E,5,C,Betnan,14.8,0.132,0.0546,,5.467963903,
E5C9,E5C,E,5,C,Empnig,4.6,0.1022,0.0536,,3.842483283,
E5C10,E5C,E,5,C,Empnig,4.3,0.1107,0.0526,,4.695133836,
E5C11,E5C,E,5,C,Empnig,5.4,0.0866,0.0403,,3.563003842,
E5C12,E5C,E,5,C,Empnig,3.5,0.0679,0.0342,,2.672144978,
D5C1,D5C,D,5,C,Vaculi,3.4,0.0479,0.0185,,2.498023391,
D5C2,D5C,D,5,C,Betnan,14.6,0.1127,0.0457,,5.452157483,
D5C3,D5C,D,5,C,Vaculi,5.6,0.0809,0.0314,,3.768003432,
D5C4,D5C,D,5,C,Vaculi,6.2,0.0983,0.0391,,4.698108668,
D5C5,D5C,D,5,C,Vaculi,5.7,0.0417,0.014,,2.524403338,
D5C6,D5C,D,5,C,Betnan,34.8,0.0913,0.0411,,4.826710992,
D5C7,D5C,D,5,C,Betnan,14.9,0.0613,0.0279,,3.047915194,
D5C8,D5C,D,5,C,Betnan,16.1,0.0714,0.0329,,3.504652346,
D5C9,D5C,D,5,C,Empnig,8.3,0.1686,0.0827,,7.15901794,
D5C10,D5C,D,5,C,Empnig,4.7,0.0532,0.0255,,2.149458282,
D5C11,D5C,D,5,C,Empnig,10.2,0.1281,0.0566,,5.174398038,
D5C12,D5C,D,5,C,Empnig,5.7,0.1039,0.0504,,4.543414139,
D4SF1,D4SF,D,4,SF,Vaculi,4.4,0.0955,0.0291,,4.8032162,
D4SF2,D4SF,D,4,SF,Vaculi,5.3,0.089,0.0262,,4.484148451,
D4SF3,D4SF,D,4,SF,Vaculi,6.9,0.1033,0.0338,,4.913072754,
D4SF4,D4SF,D,4,SF,Vaculi,6.9,0.0913,0.0285,,4.15999168,
D4SF5,D4SF,D,4,SF,Betnan,4.7,0.0588,0.0231,,2.605174144,
D4SF6,D4SF,D,4,SF,Betnan,5.6,0.0416,0.0172,,2.650048248,
D4SF7,D4SF,D,4,SF,Betnan,4.6,0.1625,0.054,,7.748228374,
D4SF8,D4SF,D,4,SF,Betnan,7.3,0.1902,0.072,,6.159432197,
D4SF9,D4SF,D,4,SF,Empnig,5.4,0.1321,0.0586,,5.4564407,
D4SF10,D4SF,D,4,SF,Empnig,4,0.0889,0.0337,,3.716874502,
D4SF11,D4SF,D,4,SF,Empnig,5.4,0.0838,0.0316,,3.565118031,
D4SF12,D4SF,D,4,SF,Empnig,4.7,0.0648,0.0269,,2.779420893,
D3C1,D3C,D,3,C,Vaculi,4.5,0.1121,0.0459,,5.516888321,
D3C2,D3C,D,3,C,Vaculi,3.6,0.0228,0.0082,,1.277882606,
D3C3,D3C,D,3,C,Vaculi,3.3,0.0631,0.0235,,3.156051107,
D3C4,D3C,D,3,C,Vaculi,3.1,0.0394,0.0121,,1.455785476,
D3C5,D3C,D,3,C,Betnan,6.4,0.0463,0.0205,,2.748793857,
D3C6,D3C,D,3,C,Betnan,12.2,0.0507,0.0221,,2.949277327,
D3C7,D3C,D,3,C,Betnan,6.8,0.0534,0.0236,,3.075818364,
D3C8,D3C,D,3,C,Betnan,7.9,0.0376,0.0165,,2.351321749,
D3C9,D3C,D,3,C,Empnig,7.6,0.0665,0.029,,2.76725253,
D3C10,D3C,D,3,C,Empnig,5.4,0.0581,0.025,,2.36209205,
D3C11,D3C,D,3,C,Empnig,3.9,0.0767,0.0353,,2.969205674,
D3C12,D3C,D,3,C,Empnig,4.5,0.0927,0.0381,,3.618075344,
D2SF1,D2SF,D,2,SF,Vaculi,3.1,0.0332,0.0143,,1.830946016,
D2SF2,D2SF,D,2,SF,Vaculi,2.3,0.0479,0.021,,2.313203116,
D2SF3,D2SF,D,2,SF,Vaculi,4.4,0.1222,0.0489,,5.220240527,
D2SF4,D2SF,D,2,SF,Vaculi,3.7,0.0983,0.0434,,4.678735804,
D2SF5,D2SF,D,2,SF,Betnan,6,0.0487,0.0222,,2.621105726,
D2SF6,D2SF,D,2,SF,Betnan,5.1,0.0386,0.0177,,2.309117317,
D2SF7,D2SF,D,2,SF,Betnan,5.7,0.0996,0.0416,,5.452874256,
D2SF8,D2SF,D,2,SF,Betnan,3.5,0.0667,0.0287,,3.791533707,
D2SF9,D2SF,D,2,SF,Empnig,5.1,0.0523,0.0227,,2.203741399,
D2SF10,D2SF,D,2,SF,Empnig,4.6,0.044,0.0191,,1.808724124,
