code,Plot,habitat,site,treatment,number,species,height,fweight,dweight,leafa
E3C3,E3C,E,E3,C,3,Vaculi,5.9,0.0558,0.0238,2.887521322
E3C4,E3C,E,E3,C,4,Vaculi,5.7,0.0795,0.0297,4.321873292
E3C5,E3C,E,E3,C,5,Betnan,18.4,0.0805,0.0357,4.451048517
E3C6,E3C,E,E3,C,6,Betnan,11.9,0.0641,0.0281,4.015941646
E3C7,E3C,E,E3,C,7,Betnan,18.2,0.1366,0.0613,5.633357766
E3C8,E3C,E,E3,C,8,Betnan,16.7,0.0536,0.0244,2.917771584
E3C9,E3C,E,E3,C,9,Empnig,6.3,0.0794,0.0383,3.347161693
E3C10,E3C,E,E3,C,10,Empnig,7.8,0.0237,0.0099,0.930051688
E3C11,E3C,E,E3,C,11,Empnig,7,0.0408,0.0197,1.799315111
E3C12,E3C,E,E3,C,12,Empnig,8.5,0.094,0.0436,3.632985637
D1SFa,D1SF,D,D1,SF,a,Vaculi,6.1,0.1441,0.0624,6.518015996
D1SFb,D1SF,D,D1,SF,b,Betnan,26,0.0577,0.0268,3.212233576
D1SFc,D1SF,D,D1,SF,c,Empnig,4.1,0.0402,0.0156,2.09612484
E2Ca,E2C,E,E2,C,a,Vaculi,6.4,0.0871,0.0323,4.482947808
E2Cb,E2C,E,E2,C,b,Vaculi,4.7,0.0352,0.0137,1.802344137
E2Cc,E2C,E,E2,C,c,Betnan,7.7,0.0518,0.0217,2.71660747
E2Cd,E2C,E,E2,C,d,Betnan,18.3,0.0612,0.0274,2.67047853
E2Ce,E2C,E,E2,C,e,Empnig,7.1,0.0746,0.0365,2.930424462
E2Cf,E2C,E,E2,C,f,Empnig,11.3,0.0997,0.053,3.767536981
X1SFa,X1SF,X,X1,SF,a,Vaculi,3.4,0.0373,0.0133,1.969565738
X1SFb,X1SF,X,X1,SF,b,Betnan,26.3,0.1305,0.0543,6.741025873
X1SFc,X1SF,X,X1,SF,c,Empnig,8.7,0.0966,0.0505,3.7983795
X5SF1,X5SF,X,X5,SF,1,Vaculi,2.9,0.0683,0.031,3.428272498
X5SF2,X5SF,X,X5,SF,2,Vaculi,3.6,0.0592,0.0249,2.984492096
X5SF3,X5SF,X,X5,SF,3,Vaculi,2.1,0.0575,0.0235,2.766876402
X5SF4,X5SF,X,X5,SF,4,Vaculi,2.2,0.0795,0.0362,3.950457906
X5SF5,X5SF,X,X5,SF,5,Betnan,3.8,0.0528,0.025,2.603363826
X5SF6,X5SF,X,X5,SF,6,Betnan,4.9,0.0417,0.02,2.226877482
X5SF7,X5SF,X,X5,SF,7,Betnan,4.4,0.0619,0.0274,3.513021361
X5SF8,X5SF,X,X5,SF,8,Betnan,4.2,0.0566,0.026,3.080997709
X5SF9,X5SF,X,X5,SF,9,Empnig,2.5,0.035,0.0193,1.449477101
X5SF10,X5SF,X,X5,SF,10,Empnig,2.7,0.0495,0.0242,2.105264822
X5SF11,X5SF,X,X5,SF,11,Empnig,1.6,0.0791,0.0392,3.073488692
X5SF12,X5SF,X,X5,SF,12,Empnig,2,0.0291,0.0155,1.262488443
